datetime,open,high,low,close,volume
2025-12-01 09:15:00,45002.43901809832,45011.7139475051,44995.764503602935,45005.03943300972,1449
2025-12-01 09:16:00,45005.6447633528,45014.854027436726,44991.15071826321,45000.35998234714,722
2025-12-01 09:17:00,45002.73040440543,45013.16628514802,45000.3668333627,45010.80271410529,721
2025-12-01 09:18:00,45016.07659266095,45026.035083679046,45011.82888714421,45021.787378162306,982
2025-12-01 09:19:00,45015.878838817625,45028.7666618566,45006.27554694501,45019.16336998399,1135
2025-12-01 09:20:00,45014.13196658686,45024.23791302637,45005.00985631573,45015.115802755245,2430
2025-12-01 09:21:00,45029.52812943775,45035.41358011898,45023.88287541546,45029.76832609669,1888
2025-12-01 09:22:00,45035.83988820303,45042.800948985445,45027.71616293429,45034.6772237167,687
2025-12-01 09:23:00,45030.99476605047,45035.21381551432,45023.98437670329,45028.203426167136,2050
2025-12-01 09:24:00,45035.54513300237,45039.24901251025,45032.04016372458,45035.74404323246,1045
2025-12-01 09:25:00,45033.19307691527,45038.90266415479,45026.114499357434,45031.82408659696,2371
2025-12-01 09:26:00,45030.07815712008,45035.3633302088,45025.25133929587,45030.53651238459,2203
2025-12-01 09:27:00,45027.694329505146,45034.363578399956,45019.209305757926,45025.878554652736,1948
2025-12-01 09:28:00,45014.317383637645,45018.133442333536,45011.695506541924,45015.511565237815,885
2025-12-01 09:29:00,45001.10264327417,45010.897801735504,44989.13552836245,44998.93068682378,2360
2025-12-01 09:30:00,44997.7141546792,45007.603840635034,44987.49228341463,44997.381969370465,2369
2025-12-01 09:31:00,44987.095539438844,44996.97472754671,44979.510245726684,44989.38943383455,1767
2025-12-01 09:32:00,44990.97641003298,44997.269933760654,44984.68763910222,44990.9811628299,1445
2025-12-01 09:33:00,44983.95062704904,44989.9814669599,44979.474406118745,44985.50524602961,238
2025-12-01 09:34:00,44971.183289962384,44979.69365012004,44961.59033789345,44970.10069805111,979
2025-12-01 09:35:00,44982.860790020786,44994.01071060167,44975.38294064035,44986.53286122124,1456
2025-12-01 09:36:00,44982.70870147207,44986.009636986826,44977.79411666964,44981.0950521844,2396
